id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,geometry,version,source_property,source_dataset,source_record_id,source_update_time,source_confidence,operating_status,categories_primary,categories_alternate,confidence,websites,socials,emails,phones,address_freeform,address_locality,address_postcode,address_region,address_country,names_primary,names_common
2ce65062-51b8-4459-8cf1-3879fcd954fc,-145.30055236816406,61.96016311645508,-145.300537109375,61.96017074584961,AQEAAABiokEKniliwNdMvtnm+k5A,5,,Foursquare,60396a39ab44fd74e6b14b40,2024-07-23T00:00:00.000,0.77,null,rafting_kayaking_area,null,0.77,"[""https://copperriverguides.com""]",null,"[""copperriverguides@gmail.com""]","[""(907) 960-0069""]",101 Old Richardson Hwy,Copper Center,99573,AK,US,Copper River Guides,null
a52c18ba-24ca-4d1e-8cba-f3e889652564,-147.70559692382812,64.80721282958984,-147.70558166503906,64.80722045898438,AQEAAADc2zk6lHZiwHUlHXupM1BA,5,,Foursquare,56c292f1cd10dbe612dca3cb,2025-08-19T00:00:00.000,0.77,null,rock_climbing_gym,null,0.77,"[""http://www.ascensionrockclub.com""]","[""https://www.facebook.com/215670838452051""]","[""arc.fairbanks@gmail.com""]","[""(907) 452-5462""]",195 Alta Way,Fairbanks,99701,AK,US,Ascension Rock Club,null
640b4a0c-4231-4518-811a-480cf8118b34,-131.72679138183594,55.39739990234375,-131.72677612304688,55.39740753173828,AQEAAAB3rY7WQXdgwEyyEgPesktA,2,,Foursquare,537ee1ef498e0a200b4ec499,2025-09-22T00:00:00.000,0.77,open,rafting_kayaking_area,null,0.9312023520469666,"[""http://www.alaskaseacycletours.com""]","[""https://www.facebook.com/347917161957390""]","[""alaskaseacycletours@gmail.com""]","[""(907) 821-2728""]",6015 N. Tongass Hwy.,Ketchikan,99901,AK,US,Alaska Sea Cycle Tours,null
d156ca28-b184-49b0-915e-bf879a6be674,-131.6436309814453,55.3399543762207,-131.6436004638672,55.339962005615234,AQEAAADO/GqQmHRgwGyqx9eDq0tA,6,,Microsoft,281474976899026,2013-01-29T07:39:32.500Z,0.85,open,rafting_kayaking_area,"[""travel""]",0.9199122190475464,"[""http://www.kayakketchikan.com/""]",null,null,"[""9072251258""]",3 Salmon Lndg,Ketchikan,99901,AK,US,Southeast Sea Kayaks,null
68ca8817-61a8-4f12-84a6-350ce3e91388,-132.957763671875,56.80741882324219,-132.95774841308594,56.80742645263672,AQEAAACuoprtpZ5gwCAThIZZZ0xA,7,,Microsoft,1407374885422676,2017-11-13T15:46:02.027Z,0.85,null,rafting_kayaking_area,"[""travel""]",0.85,"[""http://www.tongasskayak.com/""]",null,null,"[""8446043151""]",12 Marian St,Petersburg,99833,AK,US,Tongass Adventures,null
f9608219-0917-4e15-b165-3fcf8f3e24b0,-123.01519775390625,48.535369873046875,-123.01518249511719,48.535377502441406,AQEAAADUOrvG+MBewFwbzwyHREhA,6,,Microsoft,1407374883951266,2024-04-03T15:44:44.817Z,0.85,open,rafting_kayaking_area,null,0.9199122190475464,"[""http://www.sea-quest-kayak.com/""]",null,null,"[""3603785767""]",2 Front St,Friday Harbor,98250,WA,US,Sea Quest Kayak Tours,null
c6045823-11a6-47ff-8ea6-04507d5e9871,-123.01583862304688,48.535125732421875,-123.01582336425781,48.535133361816406,AQEAAAA02T9PA8FewIOFkzR/REhA,9,,Microsoft,844424932473749,2025-08-09T21:10:46.790Z,0.85,open,rafting_kayaking_area,"[""travel""]",0.9685232043266296,"[""https://www.crystalseas.com/""]",null,null,"[""3603784223""]",40 Spring St,Friday Harbor,98250,WA,US,Crystal Seas Kayaking,null
811d8273-f880-4682-843f-95236ed20a1a,-123.0291748046875,48.5155143737793,-123.02915954589844,48.51552200317383,AQEAAAARm9n43cFewDE06JX8QUhA,8,,Microsoft,1125899912089740,2023-03-20T00:00:40.633Z,0.85,open,rafting_kayaking_area,"[""travel""]",0.9199122190475464,"[""https://www.sea-quest-kayak.com/""]",null,null,"[""3603785767""]",322 Daniel Ln,Friday Harbor,98250,WA,US,Sea Quest Kayak Tours,null
d82a0ec6-9c6e-43f6-8f15-bd68496226ed,-122.34307098388672,48.42184066772461,-122.34305572509766,48.42184829711914,AQEAAAA3n8ig9JVewNfutRn/NUhA,8,,Microsoft,1407374891089472,2024-05-24T19:50:00.090Z,0.85,null,musical_band_orchestras_and_symphonies,"[""arts_and_entertainment""]",0.85,"[""https://www.skagitsymphony.com/""]",null,null,"[""3608489336""]",415 S 1st St,Mount Vernon,98273,WA,US,Skagit Symphony,null
2d89ce11-e96d-4e7a-9055-c2a62b2e986f,-122.27359008789062,46.91813659667969,-122.27357482910156,46.91814422607422,AQEAAABvKqx8gpFewB/M24aFdUdA,4,,Foursquare,58e58c08f63c5419fcd9a245,2025-08-22T00:00:00.000,0.77,open,rock_climbing_gym,null,0.5849442481994629,"[""http://www.deepforestchallenge.com""]","[""https://www.facebook.com/392320580810937""]","[""info@deepforestchallenge.com""]","[""(360) 832-7163""]",11610 Trek Drive East,Eatonville,98328,WA,US,Deep Forest Challenge,null
c582ade8-3065-4f05-ab1b-0616c15718be,-121.50611114501953,45.852256774902344,-121.50609588623047,45.852264404296875,AQEAAACLpN3oY2BewKFLOPQW7UZA,6,,Microsoft,2251799821683663,2025-05-26T21:59:54.353Z,0.85,open,rafting_kayaking_area,"[""travel"",""retail""]",0.9166101217269897,"[""https://www.pdxraft.com/""]",null,null,"[""9713801204""]",25 Bz Glenwood Highway,White Salmon,98672,WA,US,PDX Rafting,null
cb7476b7-0bab-4401-b1a4-f8279c0bb3b5,-121.50894165039062,45.8498420715332,-121.50892639160156,45.849849700927734,AQEAAACdB/FJkmBewCzvqq3H7EZA,8,,Microsoft,1688849863254340,2018-02-12T23:05:27.100Z,0.85,open,rafting_kayaking_area,"[""travel""]",0.9199122190475464,"[""""]",null,null,"[""5099988545""]",1256 Highway 141,White Salmon,98672,WA,US,All Adventures Rafting,null
1e631527-1ee1-4e5f-8cf4-d883a6c37d6f,-121.51150512695312,45.7089729309082,-121.51148986816406,45.708980560302734,AQEAAACyTL9EvGBewIBG6dK/2kZA,4,,Microsoft,1125899913680158,2025-07-24T01:38:56.150Z,0.85,open,rafting_kayaking_area,null,0.9199122190475464,"[""""]",null,null,"[""8006523246""]",116 Oak St,Hood River,97031,OR,US,ECHO RIVER TRIPS,null
06b97741-73f8-488a-9b55-9f8da432eaa4,-121.51311492919922,45.70923614501953,-121.51309967041016,45.70924377441406,AQEAAAC5W6ug1mBewNsH7nrI2kZA,7,,Microsoft,1688849860513575,2025-07-26T13:57:48.743Z,0.85,null,rafting_kayaking_area,"[""travel"",""retail""]",0.85,"[""https://www.nwrafting.com/""]",null,null,"[""5414509855""]",1879 Tucker Rd,Hood River,97031,OR,US,Northwest Rafting Company,null
e1eef4e5-8607-41e6-a079-164267ad49ed,-121.53462219238281,45.709808349609375,-121.53460693359375,45.709815979003906,AQEAAAAAAIAxN2JewAAAoDjb2kZA,7,,Microsoft,844424930449862,2013-07-22T16:58:58.150Z,0.85,null,rafting_kayaking_area,null,0.85,"[""http://www.riverrider.com/""]",null,null,"[""5413867238""]",2149 Cascade Ave 178,Hood River,97031,OR,US,AAAA River Rider,null
220bd2b0-a022-4ddf-9568-1af0a5eb60e2,-121.52519226074219,45.716739654541016,-121.52517700195312,45.71674346923828,AQEAAABlCD+/nGFewHSnuiG+20ZA,5,,Foursquare,5d2bd6374fa0730023dfc672,2025-07-27T00:00:00.000,0.77,null,rafting_kayaking_area,null,0.77,"[""http://www.hoodriversupandkayak.com""]",null,null,"[""(541) 490-5286""]",Portway Ave,Hood River,97031,OR,US,Hood River Sup & Kayak,null
