id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,geometry,version,source_property,source_dataset,source_record_id,source_update_time,source_confidence,operating_status,categories_primary,categories_alternate,confidence,websites,socials,emails,phones,address_freeform,address_locality,address_postcode,address_region,address_country,names_primary,names_common
31faeb32-8700-4bec-b174-2482bbc7022c,-89.88426971435547,35.93035125732422,-89.88426208496094,35.93035888671875,AQEAAAB39wDdl3hWwCRens4V90FA,4,,Foursquare,ee42669ef89440b63ebb20d8,2025-08-19T00:00:00.000,0.77,open,skating_rink,null,0.9472025036811829,"[""https://www.rinktime.com/.../skateland-skating-center-2""]",null,null,"[""(870) 763-9550""]",301 N Lockard St,Blytheville,72315,AR,US,Skateland Skating Center,null
e1eb87a9-0baf-48ad-a508-63cb67640041,-89.04364776611328,37.7437629699707,-89.04363250732422,37.743770599365234,AQEAAAB47b3rykJWwAllVNIz30JA,6,,Foursquare,4b70b66ef964a520142b2de3,2024-12-27T00:00:00.000,0.77,null,bowling_alley,null,0.77,"[""http://www.sibowl.com""]",null,"[""jon@sibowl.com""]","[""(618) 985-3755""]",null,Carterville,62918,IL,US,SI Bowl,null
793febf7-2293-4eb9-a85f-b9f000d54b97,-95.22595977783203,38.94178771972656,-95.2259521484375,38.94179153442383,AQEAAAD+//8fds5XwAUAAICMeENA,6,,Microsoft,562949956907255,2017-02-09T23:38:35.073Z,0.85,open,disc_golf_course,"[""paintball"",""adventure_sports_center"",""active_life"",""arts_and_entertainment"",""retail""]",0.9199122190475464,"[""http://www.dropzonepaintball.com/""]",null,null,"[""7858411884""]",811 E 23rd St,Lawrence,66046,KS,US,Drop Zone Extreme Sports,null
d35e5ead-93b1-4680-a0ac-3a4575ec61dc,-94.60686492919922,38.96662521362305,-94.60684967041016,38.96662902832031,AQEAAACqRxrc1qZXwE27mGa6e0NA,8,,Microsoft,1688849865633884,2025-09-11T06:43:45.720Z,0.85,open,bowling_alley,"[""active_life"",""retail""]",0.9199122190475464,"[""http://custombowlingservices.com/""]",null,null,"[""8164440100""]",1523 W 89th St,Kansas City,64114,MO,US,Custom Bowling Services,null
7851b495-1639-4733-98ea-23ae90b77ee0,-94.64749908447266,38.91767501831055,-94.6474838256836,38.91767883300781,AQEAAAB/eKZlcKlXwEJ3smh2dUNA,5,,Foursquare,70c1c24c82d04a3014759ac8,2025-08-22T00:00:00.000,0.77,null,skating_rink,null,0.77,"[""http://www.parkplaceleawood.com""]",null,"[""iceatparkplace@yahoo.com""]","[""(913) 381-2229""]",11565 Ash St,Leawood,66211,KS,US,The Ice,null
e3fadfea-af81-4be6-908f-4f5e9ca94624,-94.64771270751953,38.91794967651367,-94.64769744873047,38.9179573059082,AQEAAACbkNYYdKlXwF+VC5V/dUNA,7,,Microsoft,1688849860632164,2010-04-13T02:49:30.477Z,0.85,null,skating_rink,"[""active_life""]",0.85,"[""http://www.destinationparkplace.com/""]",null,null,"[""9136632070""]",11565 Ash St,Leawood,66211,KS,US,Ice At Park Place,null
3387ea27-9819-4f88-bb7d-a9ab589f7ef5,-94.35247039794922,38.397666931152344,-94.35245513916016,38.39767074584961,AQEAAABIvCuijpZXwNxhB8LmMkNA,4,,Foursquare,4f8afb4fe4b076717c379392,2025-08-22T00:00:00.000,0.77,open,bowling_alley,null,0.9492276906967163,"[""http://adrianmo.com/adrianlanes""]",null,"[""adrian_lanes@yahoo.com""]","[""(816) 297-2567""]","E Main St, Adrian, MO 64720",Adrian,64720,MO,US,adrian lanes,null
f3daae83-9f6d-42d8-8036-234ead7002a3,-93.5123519897461,38.53709030151367,-93.51233673095703,38.5370979309082,AQEAAADlyqBaymBXwFR4kpS/RENA,6,,Microsoft,1688849860515051,2013-01-27T18:22:04.360Z,0.85,open,bowling_alley,"[""active_life""]",0.9199122190475464,"[""http://www.windsorlanes.com/""]",null,null,"[""6606473139""]",605 N Main St,Windsor,65360,MO,US,Windsor Lanes,null
7e0ca362-eac7-4b13-be1e-f94808c425e5,-92.00285339355469,38.49299621582031,-92.00283813476562,38.49300003051758,AQEAAAABAECJLgBXwAcAIIIaP0NA,6,,Microsoft,1407374883735891,2013-01-29T03:07:55.717Z,0.85,open,bowling_alley,"[""active_life"",""arts_and_entertainment""]",0.9199122190475464,"[""""]",null,null,"[""5734552620""]",221 Mari Osa Delta Ln,Jefferson City,65101,MO,US,Rainbow Lanes,null
ed6ed386-b588-4e49-bbd8-2370ed1067df,-92.83270263671875,38.1998176574707,-92.83268737792969,38.19982147216797,AQEAAAANtKjNSjVXwFzSQbqTGUNA,5,,Foursquare,4ed8ce9c5c5c96a2fc3ee282,2025-08-22T00:00:00.000,0.77,null,bowling_alley,null,0.77,"[""http://westsidebowling.com""]","[""https://www.facebook.com/108178102556850""]",null,"[""(573) 374-6212""]",hwy o,laurie,65037,MO,US,westside lanes,null
60e7bf2f-9132-411e-9dc6-e12f800c8195,-92.60112762451172,38.153602600097656,-92.60111236572266,38.15361022949219,AQEAAABjTPemeCZXwLLFCEypE0NA,4,,Foursquare,4b5204ccf964a520aa6127e3,2025-08-22T00:00:00.000,0.77,open,bowling_alley,null,0.9492276906967163,"[""http://www.eaglelanes.com""]","[""https://www.facebook.com/144033068981133""]","[""bowlingqueen73@yahoo.com""]","[""(573) 302-7170""]",914 State Highway 42-8,Osage Beach,65065,MO,US,Eagle Lanes,null
