id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,geometry,version,source_property,source_dataset,source_record_id,source_update_time,source_confidence,operating_status,categories_primary,categories_alternate,confidence,websites,socials,emails,phones,address_freeform,address_locality,address_postcode,address_region,address_country,names_primary,names_common
508576e1-c37d-472c-aacf-cd5e3307de1b,-97.16704559326172,26.102415084838867,-97.16703033447266,26.102418899536133,AQEAAAADAACgsEpYwPf//x84GjpA,6,,Microsoft,2251799814627733,2015-04-19T18:22:39.530Z,0.85,open,bike_rentals,"[""go_kart_club"",""active_life""]",0.587392270565033,"[""""]",null,null,"[""9562994562""]",2412 Padre Blvd,South Padre Island,78597,TX,US,Wheels On Padre,null
4f480206-04cd-49ac-9559-3618310eaf4e,-97.16728210449219,26.103656768798828,-97.16726684570312,26.103660583496094,AQEAAACYUSy3tEpYwEPnNXaJGjpA,6,,Microsoft,1407374884961219,2019-06-20T21:32:13.803Z,0.85,open,beach_equipment_rentals,"[""golf_cart_dealer"",""active_life"",""retail""]",0.9199122190475464,"[""http://spiactivities.com/""]",null,null,"[""9567729111""]",2600 Padre Blvd Ste N,South Padre Island,78597,TX,US,SPI Activities,null
32ae607c-240f-45bb-bf0e-0378c3419c7a,-97.20693969726562,26.064851760864258,-97.20692443847656,26.064855575561523,AQEAAAA6eAtNPk1YwM8epCCaEDpA,5,,Foursquare,5892ee5476b8b258549c2c3a,2025-05-08T00:00:00.000,0.77,null,boat_rental_and_training,null,0.77,"[""http://timeforsailingtx.com""]",null,null,"[""(956) 451-8113""]",215 E Queen Isabella Blvd,Port Isabel,78578,TX,US,Time for Sailing,null
2eed1144-0194-441d-b169-735f764d4ed8,-81.80793762207031,24.557340621948242,-81.80792236328125,24.557344436645508,AQEAAABR/8Q2tXNUwMRK7uetjjhA,8,,Microsoft,562949963484250,2025-09-11T17:37:04.323Z,0.85,null,bike_rentals,"[""active_life"",""retail""]",0.85,"[""http://www.islandbikerentalkeywest.com/""]",null,null,"[""3052968182""]",235 Front St,Key West,33040,FL,US,Island Bike Rental,null
2fa31208-9506-4206-b75e-acc5ef261c81,-81.7979965209961,24.54897689819336,-81.79798889160156,24.548980712890625,AQEAAAA+IqZEEnNUwHgoCvSJjDhA,6,,Microsoft,562949957344272,2018-07-13T21:25:21.070Z,0.85,open,bike_rentals,"[""active_life""]",0.9199122190475464,"[""https://www.furycat.com/""]",null,null,"[""8889760899""]",1200 Duval St,Key West,33040,FL,US,Fury Key West Bike Rentals,null
0b428268-3880-4217-9f80-0c520db3f88b,-81.7978515625,24.552160263061523,-81.79783630371094,24.55216407775879,AQEAAAAx3fTLD3NUwJFDVptajThA,4,,Foursquare,4bb21b6ef964a52067b93ce3,2025-08-19T00:00:00.000,0.77,open,bike_rentals,null,0.9199122190475464,"[""http://www.mopedhospital.com""]",null,"[""donell@mopedhospital.com""]","[""(305) 296-3344""]",601 Truman Ave,Key West,33040,FL,US,Moped Hospital,null
f2424153-0f8c-4ace-9335-78f95a1bf6ab,-81.79071807861328,24.55641746520996,-81.79070281982422,24.55641746520996,AQEAAAAAAEDpmnJUwAAAAGBxjjhA,7,,Microsoft,1688849860868236,2014-10-01T14:34:50.140Z,0.85,null,paddleboard_rental,"[""rafting_kayaking_area"",""marina"",""travel""]",0.85,"[""""]",null,null,"[""3053044090""]",1250 US Highway 1,Key West,33040,FL,US,Funland Watersports,null
a76430e6-cf44-4496-8288-b1d86366aaf3,-82.18070983886719,26.48063087463379,-82.18070220947266,26.480634689331055,AQEAAAADAACgkItUwAMAAKAKezpA,6,,Microsoft,562949953620859,2013-02-21T10:41:10.343Z,0.85,open,paddleboard_rental,"[""travel""]",0.9199122190475464,"[""http://yoloboardadventuressanibel.com/""]",null,null,"[""2392494701""]",6460 Sanibel Captiva Rd,Sanibel,33957,FL,US,Yolo Board Adventures Sanibel,null
99bdc4e6-afaa-49df-b388-ef37318d1d35,-82.07894897460938,26.435428619384766,-82.07893371582031,26.43543243408203,AQEAAACInpRJDYVUwOC6YkZ4bzpA,9,,Microsoft,1970324842519528,2025-02-24T20:30:26.153Z,0.85,null,bike_rentals,"[""active_life""]",0.85,"[""https://www.billysrentals.com/""]",null,null,"[""2394728717""]",2437 Periwinkle Way,Sanibel,33957,FL,US,Billy's Rentals At Baliey's Center,null
e3d20271-ff3b-40b7-9554-068a0bf9ee2c,-82.05319213867188,26.443195343017578,-82.05318450927734,26.443199157714844,AQEAAABCXDl7Z4NUwNC3BUt1cTpA,6,,Microsoft,1970324842497185,2025-02-13T01:07:42.020Z,0.85,open,bike_rentals,"[""active_life"",""retail""]",0.9902192950248718,"[""https://sanibelbike.com/""]",null,null,"[""2394723620""]",1509 Periwinkle Way,Sanibel,33957,FL,US,Billy's Bike Shop,null
