id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,geometry,version,source_property,source_dataset,source_record_id,source_update_time,source_confidence,operating_status,categories_primary,categories_alternate,confidence,websites,socials,emails,phones,address_freeform,address_locality,address_postcode,address_region,address_country,names_primary,names_common
90c327d9-1a38-4d6d-8b95-da1625d7434b,-91.26533508300781,37.083106994628906,-91.26531982421875,37.08311080932617,AQEAAAA+oCI9+9BWwEcGFEWjikJA,7,,Microsoft,562949964959310,2025-07-29T11:44:03.240Z,0.85,null,wildlife_hunting_range,"[""active_life""]",0.85,"[""http://www.pineyridgeranch.com/""]",null,null,"[""5737144031""]",22804 Piney Ridge Ranch Rd,Winona,65588,MO,US,Piney Ridge Ranch,null
c1758d71-0a71-44f6-a1b6-484a5c5b5b7d,-90.93196105957031,37.954383850097656,-90.93194580078125,37.95439147949219,AQEAAADtQa0OpbtWwJHQlnMp+kJA,7,,Microsoft,844424931338044,2019-06-09T11:35:33.583Z,0.85,null,horseback_riding_service,"[""resort"",""hotel"",""lodge""]",0.85,"[""http://www.ymcaoftheozarks.org/""]",null,null,"[""8883869622""]",13528 State Highway AA,Potosi,63664,MO,US,YMCA Trout Lodge,null
ddf89331-8fbc-4ed3-a6da-d7d82ea378f6,-91.01116180419922,37.54656982421875,-91.01115417480469,37.546573638916016,AQEAAAABAADAtsBWwP7//x/2xUJA,7,,Microsoft,2533274790418686,2025-04-14T20:37:28.623Z,0.85,null,horseback_riding_service,"[""horse_boarding"",""pets""]",0.85,"[""https://www.missourifoxtrotter.com/""]",null,null,"[""5732694743""]",5910 N Black Canyon Highway,Phoenix,,AZ,US,Valley Springs Fox Trotters,null
ae7bfdba-ccb6-4c8f-8b0c-49c76ed64d83,-90.53366088867188,37.9288444519043,-90.53364562988281,37.92884826660156,AQEAAADAamB7J6JWwF2k83zk9kJA,4,,Foursquare,4de1a08bd22d2a4ecdb33765,2025-08-19T00:00:00.000,0.77,open,race_track,null,0.9902192950248718,"[""http://www.bigriversanddrags.com""]",null,null,"[""(573) 358-2302""]",7640 Blackberry Ln,Bonne Terre,63628,MO,US,Big River Sand Drags,null
c504fba3-dee1-4f9f-b6bb-f99ad5569c21,-90.69530487060547,37.15495300292969,-90.69529724121094,37.15496063232422,AQEAAAC8aYLBf6xWwBlaA4vVk0JA,5,,Foursquare,aa018c06cc414591a0e62691,2025-08-22T00:00:00.000,0.77,null,shooting_range,null,0.77,null,"[""https://www.facebook.com/877887642263052""]","[""after5@semo.net""]","[""(573) 223-2739""]",1029 RR 4,Piedmont,63957,MO,US,After 5 Archery,null
aa141d9a-f5a6-4a0e-82fe-3fc334231db2,-89.36781311035156,36.04902648925781,-89.3677978515625,36.049034118652344,AQEAAAD1WLAJildWwBSMXI1GBkJA,5,,Foursquare,4ebc6bcde5faed97be98cf15,2025-08-22T00:00:00.000,0.77,null,race_track,null,0.77,"[""http://www.thelmasskateland.com""]","[""https://www.facebook.com/542203385855936""]","[""skatepeople83@gmail.com""]","[""(731) 285-9857""]",1850 Saint John Ave,Dyersburg,38024,TN,US,Thelmas Skateland,null
1668a80c-cdae-4efb-a4ee-5cd7f3af838b,-89.39128112792969,36.04865646362305,-89.39126586914062,36.04866409301758,AQEAAADMJ3uNCllWwJUx45E6BkJA,5,,Foursquare,58d5e278e97c46e6e8b7f7e6,2025-08-22T00:00:00.000,0.77,null,race_track,null,0.77,"[""http://splitmastertiming.com""]",null,null,"[""(731) 288-7076""]","Okeena Park, Lake Road, Dyersburg , 38024, United States",Dyersburg,38024,TN,US,Hope And Honor 7K,null
03bc7201-86df-4e96-b3f6-5c15001f8493,-89.41184997558594,36.027400970458984,-89.41183471679688,36.02740478515625,AQEAAAAHLzS2W1pWwDW59/SBA0JA,7,,Microsoft,1407374885549644,2021-05-14T06:43:43.040Z,0.85,null,atv_rentals_and_tours,"[""motorcycle_dealer"",""automotive""]",0.85,"[""https://www.outerlimitpowersports.com/""]",null,null,"[""7312852060""]",470 Tennessee 3,Dyersburg,38024,TN,US,"Outerlimit Powersports, Llc",null
b7d9b90e-5261-4eeb-9bce-19f11937889c,-89.49371337890625,37.342899322509766,-89.49369812011719,37.34290313720703,AQEAAAC0ujvFmF9WwO7IYyrkq0JA,4,,Foursquare,51fe9d38498e8426757f4dbb,2025-08-22T00:00:00.000,0.77,open,shooting_range,null,0.9199122190475464,"[""http://www.eaglegunusa.com""]","[""https://www.twitter.com/eaglegunusa"",""https://www.facebook.com/548578815201286""]",null,"[""(573) 334-3636""]",3138 Highway 177,Cape Girardeau,63701,MO,US,Eagle Gun,null
2df667c1-e7f5-4711-8766-c983ced5e84e,-89.53543090820312,36.96616744995117,-89.53541564941406,36.96617126464844,AQEAAABwJPxyRGJWwEyDYHere0JA,5,,Foursquare,55b43f58498e7fb4526075d8,2025-10-09T00:00:00.000,0.77,open,race_track,null,0.9199122190475464,"[""http://www.dynodomssikestonraceway.com""]","[""https://www.facebook.com/571919259498976""]",null,"[""(573) 471-9099""]",389 Sandywood Rd,Sikeston,63801,MO,US,Dyno Doms Sikeston Raceway,null
